ahu	ahuria
whakamātaotao	whakamātaotaoria
whakamātau	whakamātauria
whakamātautau	whakamātautauria
whakananu	whakananua
whakangaere	whakangaerea
whakangahau	whakangahautia
whakangahoro	whakangahorotia
whakangaro	whakangaromia
whakangau	whakangaua
whakangāwari	whakangāwaritia
whakanoa	whakanoatia
whakanoho	whakanohoia
whakanui	whakanuia
whakaoho	whakaohotia
whakaora	whakaorangia
whakaora	whakaoratia
whakaoti	whakaotia
whakapae	whakapaea
whakapae	whakapaengia
whakapai	whakapaingia
whakapaipai	whakapaipaitia
whakapakeke	whakapakeketia
whakapakoko	whakapakokotia
whakapapa	whakapapatia
whakaparahako	whakaparahakotia
whakaparu	whakaparua
whakapau	whakapaua
whakapau	whakapaungia
whakapiata	whakapiatatia
whakapiko	whakapikoa
whakapiri	whakapiria
whakapokorua	whakapokoruatia
whakapono	whakaponohia
whakapoto	whakapotohia
whakapua	whakapuatia
whakapuaki	whakapuakina
whakapuare	whakapuaretia
whakapuhari	whakapuharia
whakapuhi	whakapuhia
whakapuru	whakapurua
whakaputa	whakaputaina
whakapā	whakapākia
whakapōhēhē	whakapōhēhēngia
whakapūmau	whakapūmautia
whakarangatira	whakarangatiratia
whakaranu	whakaranua
whakarapa	whakarapangia
whakarapihi	whakarapihitia
whakararu	whakararua
whakarato	whakaratohia
whakarawa	whakarawatia
whakarawe	whakarawea
whakareka	whakarekangia
whakarere	whakarerea
whakarere	whakarērea
whakareri	whakareria
whakarewa	whakarewaia
whakaririki	whakaririkitia
whakariro	whakariroia
whakarite	whakaritea
whakaroa	whakaroatia
whakarongo	whakarongohia
whakarāpopoto	whakarāpopotongia
whakarāwai	whakarāwaitia
whakataetae	whakataetaengia
whakatahe	whakatahea
whakatahuri	whakatahuringia
whakatairanga	whakatairangatia
whakataki	whakatakina
whakatakitaki	whakatakitakina
whakatakoto	whakatakotoria
whakatangitangi	whakatangitangihia
whakatanuku	whakatanukutia
whakatapu	whakatapuria
whakatara	whakataraa
whakataratara	whakataratarahia
whakatata	whakatatangia
whakatau	whakataua
whakataurite	whakatauritea
whakatika	whakatikaia
whakatikatika	whakatikatikaina
whakatina	whakatinaia
whakatipu	whakatipuria
whakatiraha	whakatirahatia
whakatoi	whakatoitia
whakatupu	whakatupuria
whakatuwhera	whakatuwheratia
whakatō	whakatōkia
whakatū	whakatūria
whakatākaro	whakatākarotia
whakatākotokoto	whakatākotokotoria
whakatīmata	whakatīmatangia
whakatūpato	whakatūpatoria
whakatōpū	whakatōpūtia
whakatūtehu	whakatūtehutia
whakauru	whakaurua
whakaurunga	whakaurungatia
whakautu	whakautua
whakawahi	whakawahia
whakawai	whakawaia
whakawaireka	whakawairekatia
whakaware	whakawarea
whakawehi	whakawehia
whakawherū	whakawherūtia
whakawhirinaki	whakawhirinakitia
whakawhiti	whakawhitia
whakawhiu	whakawhiua
whakawhiwhi	whakawhiwhia
whakawhāiti	whakawhāititia
whakawhānau	whakawhānautia
whakawiri	whakawiria
whakawā	whakawākia
whakawārea	whakawāreatia
whakawātea	whakawāteatia
whakawāwā	whakawāwātia
whakaū	whakaūngia
whana	whanaia
whanowhano	whanowhanoa
whao	whaoa
whare	wharekura
whata	whataa
whati	whatiia
whatiwhati	whatiwhatia
whatu	whatua
whawhai	whawhaitia
whawhao	whaowhia
whawhati	whatiia
wheo	wheotia
whera	wherahia
where	wherea
whetūrangi	whetūrangitia
whiri	whiria
whiriwhiri	whiriwhiria
whiti	whitingia
whiu	whiua
whāki	whākina
whākī	whākīna
whānako	whānakotia
whāngai	whāngaia
whānui	whānuitia
whāriki	whārikitia
whērā	whērātia
whītiki	whītikiria
whāwhā	whāwhāria
whāwhāi	whāwhāitia
wāhi	wāhia
wāwāhi	wāwāhia
ā	āia
āki	ākina
ākiri	ākiritia
ākirikiri	ākirikiritia
āmi	āmitia
āmine	āminengia
āpiti	āpitiria
āpuru	āpurua
ārahi	ārahitia
ārai	āraia
ātete	ātetetia
ūtonga	ūtongatia
āwhina	āwhinatia
āwhio	āwhiotia
